name,latitude,longitude,overloaded,load
TSA,24.87293230638833,121.27903501794322,0,7
MZG,23.566667,119.63,0,3
KNH,24.427778,118.359067,0,2
TPE,24.79522551905791,121.20764231264978,0,1
KHH,22.576944,120.35,0,0
RMQ,24.570030215034112,120.95978939125953,0,2
LZN,26.159722,119.958333,0,4
TTT,22.754722,121.101667,0,2
TNN,22.950278,120.205556,0,1
MFK,26.223889,120.0025,0,1
CYI,23.461667,120.392778,0,1
KYD,22.029444,121.527222,0,1
HUN,24.195367959519647,121.56744827814747,0,0
GNI,22.673611,121.466389,0,0
CMJ,23.213056,119.4175,0,0
WOT,23.366667,119.501667,0,0
HCN,22.038056,120.730278,0,2
