name,latitude,longitude,overloaded,load
TSA,25.069444,121.551667,0,0
MZG,23.566667,119.63,0,2
KNH,24.427778,118.359067,0,4
TPE,25.076389,121.223889,1,14
KHH,22.576944,120.35,0,2
RMQ,24.264667,120.620581,0,2
LZN,26.159722,119.958333,0,1
TTT,22.754722,121.101667,0,1
TNN,22.950278,120.205556,0,1
MFK,26.223889,120.0025,0,2
CYI,23.461667,120.392778,0,0
KYD,22.029444,121.527222,0,0
HUN,24.023056,121.617778,0,2
GNI,22.673611,121.466389,0,0
CMJ,23.213056,119.4175,0,0
WOT,23.366667,119.501667,0,0
HCN,22.038056,120.730278,0,1
